Email,CompanyName,Purpose,JobTitle,Activity,Converted
Generic,Specified,Specified,Present,Occured,Premium
Generic,Specified,Specified,Present,Occured,Demo
Generic,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Generic,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Specific,Specified,Specified,Present,Occured,Premium
Generic,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Specific,NotSpecified,Specified,Absent,Occured,Premium
Generic,Specified,NotSpecified,Present,Occured,Demo
Generic,NotSpecified,Specified,Absent,Occured,Premium
Generic,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Generic,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Generic,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Generic,NotSpecified,NotSpecified,Absent,Occured,Demo
Generic,NotSpecified,NotSpecified,Absent,Occured,Demo
Generic,NotSpecified,NotSpecified,Absent,Occured,Demo
Generic,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Generic,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Generic,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Generic,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Generic,NotSpecified,NotSpecified,Absent,Occured,Demo
Generic,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Generic,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Generic,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Generic,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Generic,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Generic,NotSpecified,NotSpecified,Absent,Occured,Demo
Generic,NotSpecified,NotSpecified,Absent,Occured,Demo
Generic,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Generic,NotSpecified,NotSpecified,Absent,Occured,Demo
Generic,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Generic,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Premium
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Generic,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Generic,NotSpecified,NotSpecified,Absent,Occured,Demo
Generic,NotSpecified,NotSpecified,Absent,Occured,Demo
Generic,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Generic,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Generic,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Generic,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Generic,NotSpecified,NotSpecified,Absent,Occured,Demo
Generic,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Generic,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Generic,NotSpecified,NotSpecified,Absent,Occured,Demo
Generic,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Generic,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Generic,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Generic,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Generic,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Premium
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Generic,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Premium
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Generic,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Generic,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,Occured,Demo
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
Specific,NotSpecified,NotSpecified,Absent,NotOccured,Demo
